year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2010,Toyota,Matrix,S,Hatchback,automatic,2t1le4ee7ac013507,ma,34.0,46706.0,black,black,boch toyota/scion south,13350.0,11900.0,Tue Jan 06 2015 02:00:00 GMT-0800 (PST)
2014,Jeep,Grand Cherokee,Limited,SUV,,1c4rjfbg7ec538170,ab,5.0,9613.0,black,black,chrysler canada inc,39300.0,39250.0,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
2010,Toyota,4Runner,Limited,SUV,automatic,jtebu5jr4a5014412,fl,28.0,84263.0,white,beige,firkins chrysler jeep dodge,26100.0,26000.0,Tue Feb 17 2015 08:00:00 GMT-0800 (PST)
2012,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg1ch203360,ga,35.0,47016.0,white,black,kern automotive group inc,14350.0,15200.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2009,Chevrolet,Impala,LS,sedan,automatic,2g1wb57k791182167,mi,26.0,98249.0,silver,gray,remarketing by ge/michigan first credit union,5375.0,4200.0,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2001,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmpu18l61lb20484,nj,26.0,236268.0,white,gray,automotive remarketing inc,1025.0,300.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2011,Honda,CR-Z,EX,hatchback,manual,jhmzf1c6xbs010990,ga,43.0,50958.0,blue,gray,ahfc/honda lease trust/hvt  inc. eot,9350.0,8900.0,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2007,Pontiac,Grand Prix,GT,sedan,automatic,2g2wr554x71216899,nc,28.0,101859.0,green,gray,santander consumer,4425.0,3700.0,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2010,Toyota,Highlander,Sport,SUV,automatic,jteek3eh0a2154659,oh,41.0,101836.0,gray,black,toyota motor sales usa inc,16350.0,16600.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg6dh609569,fl,37.0,51282.0,blue,black,the hertz corporation,13450.0,13500.0,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
2014,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb2ea929737,tx,44.0,16105.0,gray,black,mercedes-benz financial services,25900.0,25500.0,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2011,Lexus,IS 250,Base,Sedan,automatic,jthcf5c2xb5052410,ga,37.0,29814.0,—,black,lexus financial services,20800.0,20200.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2011,Ford,Escape,XLS,SUV,automatic,1fmcu0c74bkc12932,ca,42.0,69055.0,white,gray,ge fleet services for itself/servicer,9000.0,11250.0,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2007,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4gp44l87r125546,pa,27.0,93780.0,red,beige,credit acceptance corp/vrs/southfield,4500.0,4600.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1ze5e00cf223244,pa,41.0,53689.0,black,black,ari,10750.0,10700.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,SE,Sedan,automatic,3vwdx7aj9cm453528,il,26.0,56967.0,gray,black,the hertz corporation,9000.0,8900.0,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
2012,Honda,Civic,EX-L,Sedan,automatic,19xfb2f96ce336687,pa,34.0,30159.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,12550.0,12200.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f27el116105,pa,48.0,24808.0,white,black,baierl ford,12300.0,12200.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fusion,S,Sedan,automatic,1fa6p0g77e5364523,fl,35.0,23376.0,blue,black,regional acceptance corporation / greenville,14050.0,13800.0,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab8en204429,fl,4.0,25158.0,white,black,hertz corporation/gdp,11350.0,10600.0,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
2013,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkse73dg164032,mo,43.0,49548.0,black,black,car city llc,26400.0,26900.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2014,GMC,Terrain,SLE-1,SUV,automatic,2gkalmek1e6122303,tx,45.0,10660.0,silver,gray,fiserv/regions bank,20100.0,21100.0,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
2012,Volkswagen,Tiguan,S,SUV,automatic,wvgav7ax8cw524973,ca,2.0,19132.0,black,black,vw credit,14400.0,12800.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0lu7er165321,ny,4.0,33887.0,white,tan,ge fleet services for itself/servicer,16450.0,15000.0,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
2014,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad3eu195676,ga,44.0,4212.0,red,black,hyundai motor finance,14400.0,13800.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2011,Infiniti,G Convertible,G37,G Convertible,,jn1cv6fe2bm951156,mo,36.0,23754.0,white,tan,nissan infiniti lt,25600.0,25500.0,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2008,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf56xx8f048781,ca,47.0,64284.0,black,black,aaero sweet company,14800.0,16400.0,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a72eg315233,wi,42.0,11469.0,gray,gray,kia motors america  inc,15250.0,15000.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1cfafp0ca056373,tx,34.0,65209.0,black,black,wheels exchange llc,21200.0,20100.0,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2006,Lincoln,Navigator,Luxury,SUV,,5lmfu285x6lj06157,az,,120873.0,white,—,chapman chevrolet llc,7175.0,8700.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d15c344421,ny,1.0,157775.0,silver,gray,us alliance fcu,2775.0,850.0,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
2002,Saab,9-5,Arc 3.0t,Sedan,automatic,ys3ed49z823044857,ca,28.0,82079.0,silver,black,public auction,700.0,1300.0,Tue May 12 2015 05:30:00 GMT-0700 (PDT)
2012,Audi,A3,2.0 TDI Premium,Wagon,automatic,waubjbfm2ca033539,fl,2.0,62601.0,white,beige,ge fleet services for itself/servicer,16000.0,9800.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec8eg404839,tn,44.0,10381.0,white,black,t & s motors,38300.0,39500.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv4ah247653,ga,21.0,80343.0,silver,—,td auto finance,9150.0,4400.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba7dd104062,mo,37.0,10266.0,gray,gray,mccarthy olathe nissan inc,12800.0,7800.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a7xeg280750,wi,35.0,36014.0,black,beige,avis corporation,13200.0,13200.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e41cu124206,tn,48.0,39632.0,white,black,ge fleet services for itself/servicer,13750.0,13900.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,minivan,automatic,5fnrl38757b452118,mn,21.0,137991.0,burgundy,tan,shabelle auto sale and service llc,6500.0,4400.0,Thu Jun 04 2015 03:45:00 GMT-0700 (PDT)
2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5sh3e7247838,mo,23.0,30023.0,gray,gray,exeter finance corp,10500.0,8100.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2007,Honda,Accord,LX,Sedan,automatic,1hgcm56427a219301,ny,,161871.0,silver,gray,rays wholesale auto sales llc,4575.0,4300.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a40da094219,ca,47.0,1903.0,blue,gray,hyundai motor america/co car,14800.0,16000.0,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2012,Nissan,Sentra,2.0 SL,sedan,automatic,3n1ab6ap9cl695747,nj,35.0,53772.0,black,black,nissan-infiniti lt,10100.0,9300.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2012,Jeep,Liberty,Limited Jet,SUV,automatic,1c4pjmfk3cw136054,mi,46.0,30009.0,black,black,kevins marysville auto sales inc,19250.0,19900.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2014,Kia,Forte,LX,Sedan,automatic,knafx4a64e5226047,wi,48.0,9318.0,white,gray,kia motors america  inc,12650.0,12700.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h69cb018360,pa,34.0,40109.0,gray,beige,ahfc/honda lease trust/hvt  inc. eot,23300.0,23000.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2011,Toyota,RAV4,Base,SUV,automatic,2t3jf4dv8bw153448,oh,5.0,41650.0,black,beige,toyota financial services,14200.0,14900.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2000,Isuzu,Rodeo,LS,suv,manual,4s2ck58w5y4344672,sc,25.0,168201.0,black,gray,hendrick toyota scion north charleston,800.0,500.0,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sbxe7407918,sc,1.0,11446.0,red,—,enterprise vehicle exchange / tra / rental / tulsa,15150.0,11100.0,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2003,Jaguar,X-Type,2.5,sedan,automatic,sajea51d83xd36593,nj,21.0,119486.0,silver,beige,credit acceptance corp/vrs/southfield,1825.0,1500.0,Tue Jun 09 2015 05:45:00 GMT-0700 (PDT)
2013,Jeep,Wrangler,Unlimited Sport,SUV,manual,1c4bjwdgxdl559835,in,49.0,21793.0,green,black,gm financial,25500.0,25000.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2003,Toyota,Sequoia,Limited,SUV,,5tdbt48a83s181662,ma,32.0,130656.0,gray,gray,lexus of watertown,4800.0,6300.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2009,Infiniti,FX35,Base,SUV,automatic,jnras18w19m153490,pa,39.0,79006.0,gray,black,car sense inc,18650.0,18300.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,sedan,automatic,4t1bf1fk5eu406597,fl,45.0,20102.0,black,black,toyota motor sales usa inc/program,16250.0,15800.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2010,Land Rover,Range Rover Sport,HSE,suv,,salsf2d47aa240022,pa,37.0,155387.0,silver,black,jba chevrolet,21300.0,24500.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2011,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg2b2468171,fl,4.0,11469.0,blue,gray,lexus financial services,19650.0,20000.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2005,Acura,TL,3.2,Sedan,automatic,19uua66245a075734,nj,27.0,206414.0,gray,black,holman automotive grp inc,3325.0,3750.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Edge,Limited,suv,,2fmdk4kc9dba42290,on,42.0,69933.0,gray,black,canadian road leasing co & ford credit canda ltd,23900.0,23000.0,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap7ec158808,fl,48.0,7520.0,white,beige,nissan-infiniti lt,16800.0,16800.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2004,Chevrolet,Silverado 1500,Base,Extended Cab,automatic,2gcec19v141216001,ca,,169422.0,red,—,garys auto sales inc,4225.0,5000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37x,G Coupe,,jn1cv6elxcm471061,pa,35.0,22353.0,black,black,nissan infiniti lt,22000.0,20100.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2013,Ford,Flex,SE,Wagon,automatic,2fmgk5b81dbd22090,ca,41.0,17773.0,black,black,ford motor credit company llc pd,18750.0,20400.0,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2002,dodge,b1500,ram cargo,,automatic,2b6hb11y62k118048,ny,24.0,87681.0,burgundy,tan,fuccillo nissan of latham,1725.0,4100.0,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5dr717132,tx,37.0,62176.0,red,black,the hertz corporation,11400.0,11300.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2005,Mercedes-Benz,C-Class,C320,Sedan,,wdbrf64j15f570202,pa,44.0,20456.0,silver,gray,royal coast auto inc,9450.0,9400.0,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
2006,BMW,3 Series,325xi,Wagon,automatic,wbavt13516kw22742,ga,31.0,152351.0,black,tan,nalley lexus roswell,4125.0,5800.0,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2004,,,,,automatic,kmhcg35c644278781,pa,2.0,94273.0,silver,black,speedy automotive inc.,1375.0,550.0,Tue Mar 03 2015 05:01:00 GMT-0800 (PST)
2002,Honda,Accord,EX,Sedan,automatic,jhmcg65812c020266,sc,,208047.0,silver,gray,five star nissan of florence llc,1500.0,1600.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew7cg112836,wi,36.0,52521.0,blue,gray,donlen corporation,13100.0,12600.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2011,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,1gcncpex9bz142874,il,35.0,40857.0,gray,black,par north america,11850.0,10600.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk6ebl06719,nc,5.0,7967.0,silver,tan,capital ford lincoln of wilmington,36200.0,32800.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2011,Toyota,RAV4,Base,SUV,automatic,jtmzf4dv5b5035030,fl,4.0,33946.0,silver,gray,pj auto rentals inc/dba all american car rental,13900.0,13000.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg1cc288731,mi,5.0,29915.0,gray,black,kevins marysville auto sales inc,27500.0,28600.0,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap2cc820177,il,32.0,32237.0,black,black,nissan-infiniti lt,17550.0,18200.0,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
2006,Infiniti,FX35,Base,SUV,automatic,jnras08w86x210806,ma,19.0,159288.0,black,—,capital one auto finance,8425.0,6700.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Ford,Ranger,XL,Regular Cab,automatic,1ftkr1ad7bpa39832,tx,49.0,155590.0,white,gray,flexco fleet services,3850.0,4400.0,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl2eg328410,az,44.0,5634.0,black,black,barco rent a truck,45300.0,45600.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh5c7217148,mi,43.0,25552.0,blue,gray,gm financial leasing,9375.0,10000.0,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2014,Jeep,Compass,Latitude,SUV,automatic,1c4njdeb6ed652769,pa,4.0,25212.0,black,beige,ge fleet or gefs by apex fleet as agent,17000.0,17400.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2012,Volkswagen,GTI,Base,Hatchback,manual,wvwgv7aj1cw016029,oh,43.0,58996.0,white,black,pauley motor car co preowned vehicles llc,12750.0,15100.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp1el396424,nc,44.0,38789.0,blue,black,enterprise veh exchange/rental,9475.0,10300.0,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
